code,name,sw_l2,roe,profit_yoy,rev_yoy,gross_margin,debt_ratio,pb,pe_static,pe_dyn,total_mv,circ_mv,eps,bvps,capital_reserve,undist_profit
000089,深圳机场,航空机场,6.17,135.97,6.12,24.09,49.68,,,,,,0.36,5.87,1.36,2.98
000301,东方盛虹,炼化及贸易,12.39,1065.10,14.79,20.30,79.43,,,,,,0.68,5.73,2.96,1.22
000581,威孚高科,汽车零部件,4.20,19.17,14.18,17.78,32.09,,,,,,0.87,20.71,2.78,15.63
000601,韶能股份,电力,4.01,75.64,7.75,19.14,65.58,,,,,,0.16,3.99,1.42,0.58
000722,湖南发展,电力,4.44,77.45,31.20,64.82,40.24,,,,,,0.29,6.63,4.35,1.35
000725,京东方Ａ,光学光电子,3.82,61.62,1.83,15.03,52.69,,,,,,0.14,3.59,1.32,1.25
000729,燕京啤酒,非白酒,8.65,26.86,5.53,49.46,30.51,,,,,,0.5,5.99,1.55,2.35
000750,国海证券,证券Ⅱ,2.41,48.96,39.44,0.00,70.57,,,,,,0.09,3.59,1.76,0.31
000762,西藏矿业,能源金属,2.03,492.46,304.58,43.66,44.95,,,,,,0.12,5.74,3.07,1.4
000792,盐湖股份,农化制品,13.34,137.88,79.88,71.39,14.07,,,,,,1.17,9.02,6.74,0.86
000807,云铝股份,工业金属,21.89,177.61,20.30,31.84,15.80,,,,,,2.22,11,2.88,6.89
000830,鲁西化工,化学原料,5.01,27.64,4.16,14.76,44.16,,,,,,0.51,10.26,2.51,6.17
000880,潍柴重机,通用设备,7.97,36.49,52.71,10.62,75.23,,,,,,0.38,4.79,0.68,2.58
000893,亚钾国际,农化制品,9.63,57.93,51.53,59.92,30.97,,,,,,1.46,15.81,7.26,7.77
000933,神火股份,工业金属,18.41,151.06,21.35,36.17,42.32,,,,,,2.13,12.31,1.2,9.3
000949,新乡化纤,化学纤维,5.02,449.05,22.49,16.41,46.47,,,,,,0.21,4.23,1.81,1.19
000957,中通客车,商用车,8.63,48.50,1.85,17.20,66.63,,,,,,0.48,5.7,0.81,3.4
000960,锡业股份,小金属,7.32,41.60,49.68,11.24,43.92,,,,,,0.91,13.05,5.07,6.31
000989,九芝堂,中药Ⅱ,6.62,74.01,29.08,59.70,25.07,,,,,,0.29,4.3,1.81,1.05
002067,景兴纸业,造纸,2.07,152.95,20.22,8.12,33.09,,,,,,0.09,4.6,1.78,1.7
002083,孚日股份,纺织制造,8.22,64.01,12.78,23.75,37.39,,,,,,0.43,5.11,1.44,2.37
002111,威海广泰,航空装备Ⅱ,4.98,90.62,19.13,28.23,49.69,,,,,,0.3,5.75,1.96,2.34
002128,电投能源,煤炭开采,10.58,49.13,19.96,43.88,33.82,,,,,,1.6,16.9,5.07,10.15
002132,恒星科技,通用设备,2.38,293.45,11.41,12.24,54.21,,,,,,0.06,2.56,1.16,0.34
002154,报 喜 鸟,服装家纺,6.14,47.71,9.96,64.89,31.51,,,,,,0.2,3.21,0.53,1.41
002245,蔚蓝锂芯,电池,6.51,53.39,30.35,20.30,41.20,,,,,,0.3,4.65,1.39,2.15
002246,北化股份,化学制品,7.12,111.09,18.16,37.26,36.19,,,,,,0.41,5.94,2.04,2.7
002250,联化科技,农化制品,5.34,64.41,26.84,31.96,48.70,,,,,,0.41,7.69,2.38,3.68
002326,永太科技,化学制品,9.75,365.74,43.57,25.01,75.23,,,,,,0.3,3.2,0.78,1.18
002345,潮宏基,饰品,10.89,27.42,6.65,27.39,37.69,,,,,,0.47,4.37,1.53,1.65
002406,远东传动,汽车零部件,2.44,83.78,25.94,25.85,24.40,,,,,,0.14,5.42,2.33,1.42
002440,闰土股份,化学制品,6.17,318.68,32.49,28.06,14.21,,,,,,0.56,9.23,0.93,6.75
002458,益生股份,养殖业,6.86,4897.29,28.44,28.04,35.14,,,,,,0.21,3.24,0.89,1.06
002517,恺英网络,游戏Ⅱ,13.74,50.34,86.06,76.87,25.77,,,,,,0.67,4.91,0.17,3.47
002522,浙江众成,塑料,2.30,48.47,6.45,19.41,31.97,,,,,,0.06,2.59,0.7,0.69
002566,益盛药业,中药Ⅱ,1.20,42.99,3.25,75.18,22.16,,,,,,0.08,6.74,2.52,2.78
002593,日上集团,专业工程,3.52,104.22,4.89,16.61,49.45,,,,,,0.11,3.09,1.17,0.91
002635,安洁科技,消费电子,2.76,165.12,11.07,18.97,32.92,,,,,,0.25,8.89,4.93,2.51
002645,华宏科技,环保设备Ⅱ,8.12,330.30,77.13,13.66,38.80,,,,,,0.46,5.76,2.69,1.88
002648,卫星化学,化学原料,17.28,126.94,30.92,28.09,51.03,,,,,,1.85,11.29,1.33,8.78
002748,世龙实业,化学原料,6.96,146.19,14.87,19.30,46.84,,,,,,0.42,6.14,1.31,3.25
002752,昇兴股份,包装印刷,6.72,65.29,16.28,13.33,51.84,,,,,,0.25,3.75,0.82,1.82
002756,永兴材料,能源金属,7.29,139.24,37.62,28.09,13.16,,,,,,1.78,24.97,4.77,18.77
002757,南兴股份,专用设备,3.86,32.04,12.15,16.18,45.55,,,,,,0.27,6.92,2.86,2.18
002797,第一创业,证券Ⅱ,3.94,41.67,18.48,0.00,73.56,,,,,,0.16,4.11,1.44,0.72
002803,吉宏股份,互联网电商,5.68,33.52,15.53,47.32,41.80,,,,,,0.34,6.18,1.22,3.98
002810,山东赫达,化学制品,9.28,88.27,26.05,33.82,44.48,,,,,,0.61,6.51,0.29,4.74
002812,恩捷股份,电池,3.15,980.99,50.47,29.89,44.18,,,,,,0.84,26.52,15.38,9.99
002832,比音勒芬,服装家纺,8.87,18.41,23.66,75.88,28.68,,,,,,0.86,9.5,1.57,6.43
002847,盐津铺子,休闲食品,19.51,14.10,4.41,32.22,49.55,,,,,,1.57,7.77,0.79,5.88
002926,华西证券,证券Ⅱ,3.84,89.71,30.82,0.00,77.13,,,,,,0.37,9.65,3.09,3.4
002946,新乳业,饮料乳品,11.84,17.24,5.20,29.73,56.32,,,,,,0.54,4.11,0.6,2.95
002956,西麦食品,休闲食品,8.80,81.88,22.03,44.03,27.98,,,,,,0.47,5.26,1.92,2.05
003010,若羽臣,互联网电商,20.85,131.72,73.29,65.47,70.77,,,,,,0.54,2.56,0.38,1.67
003022,联泓新科,光伏设备,5.59,165.68,84.31,23.87,68.07,,,,,,0.32,5.84,2.04,2.47
600026,中远海能,航运港口,9.26,143.21,30.03,41.39,49.04,,,,,,0.83,8.79,3.8,3.08
600028,中国石化,炼化及贸易,3.06,19.29,1.95,19.24,54.27,,,,,,0.21,6.98,1.03,2.97
600035,楚天高速,铁路公路,4.81,8.59,0.91,26.76,57.10,,,,,,0.27,5.64,0.69,2.92
600120,浙江东方,多元金融,5.17,115.47,5.94,62.71,68.87,,,,,,0.26,4.91,0.6,2.81
600150,中国船舶,航海装备Ⅱ,6.71,163.51,26.01,17.37,62.41,,,,,,1.32,20.25,14.34,3.72
600179,安通控股,航运港口,5.39,28.14,5.25,20.05,24.36,,,,,,0.16,2.96,0.63,1.24
600188,兖矿能源,煤炭开采,6.87,45.05,13.01,30.60,60.93,,,,,,0.74,7.66,1.63,4.88
600233,圆通速递,物流,8.72,73.44,8.39,12.04,33.11,,,,,,0.93,10.85,3.76,6.6
600262,北方股份,专用设备,7.35,37.28,3.16,18.29,64.64,,,,,,0.58,10.99,1.45,2.37
600292,电投水电,电力,6.81,123.14,2.45,39.83,67.30,,,,,,0.25,4.11,2.55,0.99
600295,鄂尔多斯,冶钢原料,6.27,43.19,5.88,24.05,43.60,,,,,,0.51,7.65,0.88,4.68
600299,安迪苏,化学制品,4.55,22.25,14.04,28.38,30.83,,,,,,0.29,6.4,1.17,4.2
600315,上海家化,化妆品,5.41,43.35,8.99,66.32,33.98,,,,,,0.57,10.51,1.38,7.55
600338,西藏珠峰,工业金属,7.70,18.03,44.83,70.75,35.72,,,,,,0.39,5.2,0.02,4.16
600356,恒丰纸业,造纸,4.01,17.95,2.42,19.79,26.74,,,,,,0.34,9.33,3.53,4.23
600378,昊华科技,化学制品,4.84,39.78,24.87,24.53,42.13,,,,,,0.7,14.48,6.77,6.31
600426,华鲁恒升,农化制品,6.87,49.98,8.87,24.10,27.47,,,,,,0.86,16.51,0.59,10.53
600428,中远海特,航运港口,7.89,66.24,34.07,23.16,57.77,,,,,,0.5,6.2,2.61,2.13
600482,中国动力,其他电源设备Ⅱ,3.21,42.74,11.54,18.53,55.54,,,,,,0.58,18.16,12.26,4.17
600490,鹏欣资源,工业金属,3.53,58.81,59.56,30.45,21.68,,,,,,0.1,2.87,1.5,0.3
600497,驰宏锌锗,工业金属,9.41,70.58,30.78,22.04,25.93,,,,,,0.32,3.53,1.55,0.66
600499,科达制造,专用设备,9.79,72.39,26.92,31.91,45.92,,,,,,0.67,6.91,1.23,4.47
600506,统一股份,炼化及贸易,14.56,106.76,36.40,18.96,61.22,,,,,,0.28,2.03,0.47,0.55
600508,上海能源,煤炭开采,2.23,38.02,27.21,18.25,41.65,,,,,,0.28,12.69,0.83,10.36
600521,华海药业,化学制药,7.92,88.26,8.78,58.41,54.23,,,,,,0.51,6.37,0.89,4.05
600546,山煤国际,煤炭开采,6.06,54.13,21.63,41.97,49.20,,,,,,0.51,8.74,1.71,4.95
600663,陆家嘴,房地产开发,4.36,35.91,22.75,57.92,70.79,,,,,,0.22,5.07,0.32,3.34
600685,中船防务,航海装备Ⅱ,4.62,58.94,9.31,10.70,62.90,,,,,,0.59,13.43,6.42,2.65
600711,盛屯矿业,工业金属,10.47,71.37,39.56,22.87,61.69,,,,,,0.58,5.78,2.81,2.2
600754,锦江酒店,酒店餐饮,3.39,47.05,4.21,36.93,64.03,,,,,,0.51,14.98,9.8,3.61
600872,中炬高新,调味发酵品Ⅱ,7.05,61.25,19.23,42.79,31.84,,,,,,0.53,7.2,0.52,5.81
600884,杉杉股份,电池,3.69,296.73,23.04,20.09,48.53,,,,,,0.37,10.22,3.94,5.84
600906,财达证券,证券Ⅱ,6.06,104.59,67.92,0.00,79.42,,,,,,0.24,3.93,1.46,0.51
600909,华安证券,证券Ⅱ,8.08,102.55,65.28,0.00,76.95,,,,,,0.42,5.44,1.97,1.38
600938,中国海油,油气开采Ⅱ,10.21,23.42,16.88,53.46,28.60,,,,,,1.81,18.01,0.06,14.56
600971,恒源煤电,煤炭开采,1.36,224.79,44.82,28.26,51.39,,,,,,0.13,9.78,1.35,6.28
600985,淮北矿业,煤炭开采,2.94,20.11,3.76,20.44,49.41,,,,,,0.46,15.68,4.13,9.23
600989,宝丰能源,化学原料,18.61,70.14,32.33,43.56,41.84,,,,,,1.33,7.53,0.99,4.72
600995,南网储能,电力,4.80,33.61,24.83,51.95,53.76,,,,,,0.37,7.33,3.51,2.79
601002,晋亿实业,通用设备,4.72,76.82,4.45,30.72,19.61,,,,,,0.22,4.66,1.73,1.56
601033,永兴股份,环境治理,4.76,13.24,9.10,41.30,56.23,,,,,,0.58,11.97,8.97,1.63
601061,中信金属,贸易Ⅱ,11.02,84.55,36.53,1.80,52.77,,,,,,0.55,5.05,1.23,2.65
601086,国芳集团,一般零售,4.34,214.09,10.35,39.35,42.77,,,,,,0.11,2.4,0.49,0.51
601101,昊华能源,煤炭开采,6.03,66.14,9.46,40.68,45.51,,,,,,0.52,8.64,2.13,4.09
601218,吉鑫科技,风电设备,3.96,46.14,39.33,18.29,27.39,,,,,,0.12,3.15,0.57,1.41
601225,陕西煤业,煤炭开采,10.90,47.57,1.17,33.36,40.26,,,,,,1.16,10.43,0.14,7.93
601339,百隆东方,纺织制造,5.96,43.45,19.03,16.41,31.77,,,,,,0.37,6.14,1.57,3.45
601375,中原证券,证券Ⅱ,2.87,61.07,36.96,0.00,75.98,,,,,,0.09,3.17,1.35,0.2
601500,通用股份,汽车零部件,2.26,114.84,11.20,15.29,57.71,,,,,,0.09,3.78,1.72,1.09
601600,中国铝业,工业金属,14.67,67.91,7.74,26.94,42.76,,,,,,0.69,4.93,1.24,2.28
601678,滨化股份,化学原料,2.89,208.25,12.32,12.72,48.63,,,,,,0.14,5.76,1.21,2.56
601788,光大证券,证券Ⅱ,3.28,32.45,18.17,0.00,78.50,,,,,,0.48,13.33,5.24,3.72
601857,中国石油,炼化及贸易,6.30,22.03,5.34,21.87,38.88,,,,,,0.57,8.95,0.64,5.98
601872,招商轮船,航运港口,15.61,227.57,56.15,44.98,47.53,,,,,,0.86,5.8,1.47,2.99
601877,正泰电器,电网设备,6.85,22.23,28.46,23.52,64.67,,,,,,1.46,21.41,5.65,14.65
601899,紫金矿业,工业金属,19.60,68.17,15.78,37.75,49.55,,,,,,1.47,7.6,1.45,5.62
601918,新集能源,煤炭开采,6.96,32.27,35.82,34.53,63.88,,,,,,0.47,7.02,0.84,4.26
601975,招商南油,航运港口,6.78,42.41,19.37,29.85,10.72,,,,,,0.17,2.6,0.53,1.08
603055,台华新材,纺织制造,6.95,17.96,8.37,26.44,53.54,,,,,,0.43,6.17,1.39,3.64
603132,金徽股份,工业金属,12.26,61.52,37.00,69.97,62.89,,,,,,0.42,3.47,1.57,0.33
603209,兴通股份,航运港口,6.17,57.11,29.36,31.06,39.84,,,,,,0.66,10.55,5.6,3.96
603332,苏州龙杰,化学纤维,4.11,64.24,29.73,12.95,16.50,,,,,,0.25,6.04,2.66,1.97
603387,基蛋生物,医疗器械,6.42,69.37,8.32,69.09,19.21,,,,,,0.36,5.8,0.62,3.63
603507,振江股份,风电设备,5.81,854.75,56.10,19.69,73.00,,,,,,0.63,14.19,5.48,3.91
603587,地素时尚,服装家纺,5.61,23.21,3.63,76.90,19.35,,,,,,0.44,7.73,2.85,3.09
603659,璞泰来,电池,6.89,37.58,42.70,26.32,58.14,,,,,,0.68,9.98,3.67,5.25
603790,雅运股份,化学制品,4.86,39.31,18.86,34.00,23.68,,,,,,0.33,6.82,1.36,4.11
603819,神力股份,电机Ⅱ,2.47,155.03,5.32,9.05,50.23,,,,,,0.09,3.75,1.58,0.87
603826,坤彩科技,非金属材料Ⅱ,9.32,255.43,48.03,19.80,61.11,,,,,,0.21,3.01,0.45,0.73
603883,老百姓,医药商业,6.61,12.30,2.07,32.45,60.55,,,,,,0.59,9.2,2.23,5.22
603901,永创智能,专用设备,4.63,79.92,11.25,27.28,56.52,,,,,,0.25,6.22,3.12,1.93
603926,铁流股份,汽车零部件,3.93,41.26,1.53,19.54,40.32,,,,,,0.3,7.55,2.6,3.35
603928,兴业股份,塑料,4.01,42.92,21.09,16.61,24.07,,,,,,0.19,4.75,1.2,2.13
603993,洛阳钼业,工业金属,18.29,86.27,42.78,23.01,52.16,,,,,,0.76,4.19,1.24,2.66
605016,百龙创园,化学制品,9.92,24.06,16.99,43.72,26.56,,,,,,0.5,5.01,0.8,2.83
605151,西上海,汽车零部件,2.49,582.43,7.16,18.09,47.79,,,,,,0.25,10.35,3.41,5.54
605358,立昂微,半导体,1.13,166.11,25.72,13.42,41.33,,,,,,0.11,13.88,11.65,0.96
